Index,Open,High,Low,Close,Volume
2010-01-04,,,,,
2010-01-05,1101.0,1125.9,1095.4,1119.6,16804.0
2010-01-06,1123.3,1130.8,1117.0,1120.0,14402.0
2010-01-07,1119.0,1142.3,1118.5,1137.8,10043.0
2010-01-08,1140.2,1140.2,1130.4,1135.1,4645.0
2010-01-11,1131.8,1141.3,1121.2,1140.3,21783.0
2010-01-12,1142.0,1166.7,1142.0,1152.8,24106.0
2010-01-13,1153.3,1159.5,1125.6,1130.8,21188.0
2010-01-14,1129.8,1140.2,1119.8,1138.2,27197.0
2010-01-15,1138.3,1148.0,1132.0,1144.3,28781.0
2010-01-18,1143.6,1147.0,1127.7,1131.8,20354.0
2010-01-19,,,,,
2010-01-20,1131.8,1141.8,1128.8,1141.2,43043.0
2010-01-21,1139.8,1142.9,1107.8,1113.6,38382.0
2010-01-22,1114.1,1118.5,1089.0,1104.2,48792.0
2010-01-25,1095.9,1100.0,1083.0,1090.8,33919.0
2010-01-26,1092.6,1105.0,1092.5,1096.8,48492.0
2010-01-27,1099.2,1104.2,1086.5,1099.5,104594.0
2010-01-28,1094.5,1103.3,1084.1,1085.7,124936.0
2010-01-29,1087.0,1096.9,1074.4,1084.8,211376.0
2010-02-01,1087.0,1091.4,1075.0,1083.8,182586.0
2010-02-02,1081.9,1108.8,1077.2,1105.0,162343.0
2010-02-03,1107.3,1119.9,1099.5,1118.0,154491.0
2010-02-04,1115.8,1126.4,1107.5,1112.0,158610.0
2010-02-05,1110.1,1112.0,1059.0,1063.0,280754.0
2010-02-08,1065.7,1069.4,1044.5,1052.8,253584.0
2010-02-09,1068.3,1074.3,1061.8,1066.2,142157.0
2010-02-10,1062.4,1083.8,1062.1,1077.2,184386.0
2010-02-11,1078.6,1083.0,1063.1,1076.3,163920.0
2010-02-12,1073.8,1098.4,1072.9,1094.7,188052.0
2010-02-15,1094.6,1097.7,1078.1,1090.0,153310.0
2010-02-16,,,,,
2010-02-17,1093.7,1121.9,1092.0,1119.8,179062.0
2010-02-18,1119.8,1128.7,1105.5,1120.1,172886.0
2010-02-19,1108.3,1124.8,1098.1,1118.7,180734.0
2010-02-22,1107.2,1127.4,1099.3,1122.1,170952.0
2010-02-23,1122.5,1131.5,1110.0,1113.1,137551.0
2010-02-24,1114.1,1121.7,1099.6,1103.2,161291.0
2010-02-25,1103.5,1108.8,1090.2,1097.2,176130.0
2010-02-26,1096.8,1110.0,1088.5,1108.5,206758.0
2010-03-01,1108.0,1119.5,1104.6,1118.9,129613.0
2010-03-02,1120.4,1125.0,1113.5,1119.5,6788.0
2010-03-03,1119.3,1139.5,1116.4,1138.6,17318.0
2010-03-04,1136.0,1146.6,1134.4,1144.6,11412.0
2010-03-05,1140.9,1143.2,1127.7,1134.4,6842.0
2010-03-08,1134.2,1142.3,1129.0,1136.5,15564.0
2010-03-09,1136.7,1139.3,1119.7,1125.3,11827.0
2010-03-10,1125.3,1126.3,1109.4,1123.6,14242.0
2010-03-11,1122.9,1129.5,1105.0,1109.4,18749.0
2010-03-12,1109.5,1112.8,1101.7,1109.5,11793.0
2010-03-15,1111.0,1120.7,1098.6,1103.0,6395.0
2010-03-16,1102.9,1110.9,1102.5,1106.6,40309.0
2010-03-17,1111.1,1130.5,1109.5,1123.6,19043.0
2010-03-18,1128.5,1135.0,1119.5,1125.3,22565.0
2010-03-19,1125.5,1130.5,1119.5,1128.6,14626.0
2010-03-22,1127.3,1128.1,1102.1,1108.8,16553.0
2010-03-23,1108.2,1109.7,1093.2,1100.7,35644.0
2010-03-24,1104.0,1109.1,1095.3,1104.9,35378.0
2010-03-25,1104.1,1106.8,1086.1,1089.9,44876.0
2010-03-26,1087.4,1096.8,1086.6,1094.1,58820.0
2010-03-29,1092.9,1111.0,1089.6,1105.4,98796.0
2010-03-30,1111.0,1116.0,1104.2,1111.5,126186.0
2010-03-31,1110.6,1114.2,1102.4,1105.7,109922.0
2010-04-01,1105.1,1119.9,1103.1,1114.5,108481.0
2010-04-02,1114.6,1129.1,1112.3,1126.1,108427.0
2010-04-05,,,,,
2010-04-06,1122.0,1134.3,1120.8,1133.8,75636.0
2010-04-07,1131.9,1139.6,1123.5,1136.0,126657.0
2010-04-08,1135.2,1154.2,1133.3,1153.0,163437.0
2010-04-09,1150.2,1154.7,1144.4,1152.9,119675.0
2010-04-12,1151.8,1165.8,1150.4,1161.9,134636.0
2010-04-13,1166.3,1170.7,1154.8,1162.2,122400.0
2010-04-14,1156.2,1158.1,1145.4,1153.4,133642.0
2010-04-15,1152.0,1162.8,1151.0,1159.6,123129.0
2010-04-16,1155.8,1162.3,1150.7,1160.3,99314.0
2010-04-19,1159.4,1161.2,1130.0,1136.9,202672.0
2010-04-20,1137.0,1138.5,1124.3,1135.8,124328.0
2010-04-21,1136.6,1146.8,1134.0,1139.2,120349.0
2010-04-22,1140.4,1151.2,1138.1,1148.8,112315.0
2010-04-23,1147.0,1149.8,1132.0,1142.9,138485.0
2010-04-26,1141.8,1158.5,1135.2,1153.7,144453.0
2010-04-27,1158.5,1160.7,1151.1,1154.0,88294.0
2010-04-28,1154.2,1173.4,1146.6,1162.2,182681.0
2010-04-29,1168.7,1175.3,1161.0,1171.8,167705.0
2010-04-30,1165.4,1171.8,1162.2,1168.8,109655.0
2010-05-03,1168.0,1182.5,1167.8,1180.7,120949.0
2010-05-04,1180.9,1189.5,1178.4,1184.7,2411.0
2010-05-05,1184.0,1194.1,1168.2,1170.6,6665.0
2010-05-06,1173.7,1179.1,1157.6,1176.4,10756.0
2010-05-07,1176.0,1213.2,1168.0,1198.8,15073.0
2010-05-10,1209.1,1216.1,1195.0,1212.2,43918.0
2010-05-11,1208.0,1208.0,1186.5,1202.5,21204.0
2010-05-12,1205.3,1236.5,1203.4,1222.1,19256.0
2010-05-13,1234.8,1251.0,1229.2,1244.9,19324.0
2010-05-14,1238.0,1245.3,1229.6,1231.0,22481.0
2010-05-17,1233.1,1251.4,1219.7,1229.6,22144.0
2010-05-18,1234.2,1244.3,1221.0,1229.9,19939.0
2010-05-19,1226.0,1231.1,1208.7,1216.4,20226.0
2010-05-20,1226.2,1229.7,1188.5,1194.9,31253.0
2010-05-21,1194.3,1199.8,1176.7,1190.4,31246.0
2010-05-24,1184.5,1189.5,1168.0,1177.9,28510.0
2010-05-25,1178.9,1199.0,1178.6,1195.8,92394.0
2010-05-26,1194.0,1206.3,1186.9,1199.8,95515.0
2010-05-27,1205.0,1218.7,1202.7,1215.3,155669.0
2010-05-28,1213.5,1220.6,1207.4,1214.4,138265.0
2010-05-31,1213.4,1217.3,1203.8,1215.0,96000.0
2010-06-01,,,,,
2010-06-02,1217.4,1230.6,1211.6,1226.9,107409.0
2010-06-03,1227.7,1228.9,1215.0,1222.6,90250.0
2010-06-04,1225.2,1226.5,1202.4,1210.0,115426.0
2010-06-07,1208.5,1222.0,1198.1,1217.7,139929.0
2010-06-08,1221.1,1246.7,1212.1,1240.8,154985.0
2010-06-09,1242.6,1254.5,1235.0,1245.6,143916.0
2010-06-10,1237.1,1242.6,1223.1,1229.9,125493.0
2010-06-11,1234.4,1236.0,1216.2,1222.2,118687.0
2010-06-14,1218.8,1232.4,1218.1,1230.2,80168.0
2010-06-15,1229.3,1235.9,1217.5,1224.5,97231.0
2010-06-16,1223.0,1238.5,1221.1,1234.4,104401.0
2010-06-17,1236.1,1239.5,1228.3,1230.5,83665.0
2010-06-18,1231.6,1252.8,1231.0,1248.7,140087.0
2010-06-21,1247.6,1263.7,1243.1,1258.3,115423.0
2010-06-22,1261.2,1266.5,1231.6,1240.7,154610.0
2010-06-23,1233.3,1244.0,1233.0,1240.8,122705.0
2010-06-24,1240.6,1247.4,1225.2,1234.8,138832.0
2010-06-25,1237.6,1249.5,1228.0,1245.9,130027.0
2010-06-28,1244.5,1259.5,1241.6,1256.2,91013.0
2010-06-29,1255.8,1263.7,1235.9,1238.6,146272.0
