Index,Open,High,Low,Close,Volume
2010-01-04,,,,,
2010-01-05,335.0,342.9,334.65,340.6,22606.0
2010-01-06,341.35,342.95,338.2,341.35,18107.0
2010-01-07,341.9,352.2,341.25,349.45,25925.0
2010-01-08,349.05,354.4,342.55,342.7,24011.0
2010-01-11,343.4,344.8,339.15,340.05,26080.0
2010-01-12,341.35,350.4,341.3,344.1,21424.0
2010-01-13,343.65,346.25,330.5,334.95,33041.0
2010-01-14,332.95,342.85,331.5,340.0,30956.0
2010-01-15,342.0,344.4,338.3,338.75,26175.0
2010-01-18,340.55,342.6,334.8,336.6,19853.0
2010-01-19,,,,,
2010-01-20,336.9,346.0,335.8,344.7,26382.0
2010-01-21,344.95,347.0,333.85,335.5,27967.0
2010-01-22,335.8,340.65,328.15,329.5,37495.0
2010-01-25,329.15,337.35,326.7,334.7,39545.0
2010-01-26,332.6,340.25,332.4,339.3,25185.0
2010-01-27,338.3,339.65,330.6,333.95,27220.0
2010-01-28,333.95,335.7,317.4,322.25,41568.0
2010-01-29,319.7,324.35,309.15,309.8,45961.0
2010-02-01,311.85,315.4,303.45,305.25,42980.0
2010-02-02,304.0,310.95,299.05,308.35,32379.0
2010-02-03,310.9,312.45,305.3,308.95,32704.0
2010-02-04,309.05,314.4,295.35,297.35,52385.0
2010-02-05,298.05,302.1,285.6,287.9,42321.0
2010-02-08,286.5,290.35,281.1,285.75,48342.0
2010-02-09,287.0,293.15,286.05,291.3,35941.0
2010-02-10,288.1,300.4,287.65,298.7,46974.0
2010-02-11,299.75,301.5,293.05,298.9,42592.0
2010-02-12,298.8,314.9,298.0,313.35,50586.0
2010-02-15,313.4,314.0,303.4,308.25,35054.0
2010-02-16,,,,,
2010-02-17,310.0,322.6,306.35,322.15,41234.0
2010-02-18,319.4,326.8,319.4,323.95,35833.0
2010-02-19,324.0,332.85,318.0,328.55,38605.0
2010-02-22,328.1,336.35,321.2,335.7,36674.0
2010-02-23,337.5,338.8,330.75,332.85,14533.0
2010-02-24,331.95,336.5,321.1,323.45,17744.0
2010-02-25,324.2,326.95,319.1,325.35,22898.0
2010-02-26,324.45,328.75,316.6,321.0,35261.0
2010-03-01,323.0,329.5,320.3,328.4,32369.0
2010-03-02,340.85,348.7,332.2,335.0,46161.0
2010-03-03,334.55,341.5,329.0,341.15,31176.0
2010-03-04,340.6,347.2,335.1,343.5,40084.0
2010-03-05,342.2,343.5,334.85,337.55,34228.0
2010-03-08,337.55,345.85,336.55,341.75,29959.0
2010-03-09,341.8,346.5,338.55,341.05,26183.0
2010-03-10,342.5,342.5,335.5,341.15,25369.0
2010-03-11,339.9,344.6,335.05,336.8,34927.0
2010-03-12,338.0,339.95,333.85,337.7,31163.0
2010-03-15,339.0,340.65,335.85,338.0,23204.0
2010-03-16,338.3,339.15,329.0,331.5,25628.0
2010-03-17,332.2,338.4,331.0,336.5,25246.0
2010-03-18,337.4,343.6,337.15,341.8,22361.0
2010-03-19,342.45,342.8,337.55,339.55,19925.0
2010-03-22,339.45,342.4,335.65,337.25,24594.0
2010-03-23,337.7,339.0,331.05,338.05,30277.0
2010-03-24,338.55,340.95,335.8,337.9,22111.0
2010-03-25,337.5,338.75,332.1,334.55,24150.0
2010-03-26,333.0,338.7,332.05,338.05,25096.0
2010-03-29,335.35,343.4,333.75,340.3,29708.0
