"Index","CNYUSD"
"2010-01-01",0.14647
"2010-01-04",0.14647
"2010-01-05",0.14647
"2010-01-06",0.14647
"2010-01-07",0.14646
"2010-01-08",0.14646
"2010-01-11",0.14649
"2010-01-12",0.14648
"2010-01-13",0.14647
"2010-01-14",0.14648
"2010-01-15",0.14648
"2010-01-18",0.14648
"2010-01-19",0.14647
"2010-01-20",0.14647
"2010-01-21",0.14648
"2010-01-22",0.14648
"2010-01-25",0.14648
"2010-01-26",0.14649
"2010-01-27",0.14647
"2010-01-28",0.14648
"2010-01-29",0.14648
"2010-02-01",0.14648
"2010-02-02",0.14647
"2010-02-03",0.14648
"2010-02-04",0.14648
"2010-02-05",0.14648
"2010-02-08",0.14649
"2010-02-09",0.14648
"2010-02-10",0.14648
"2010-02-11",0.14638
"2010-02-12",0.14634
"2010-02-15",0.14648
"2010-02-16",0.14637
"2010-02-17",0.1465
"2010-02-18",0.14647
"2010-02-19",0.14641
"2010-02-22",0.14649
"2010-02-23",0.14646
"2010-02-24",0.14648
"2010-02-25",0.14649
"2010-02-26",0.1465
"2010-03-01",0.1465
"2010-03-02",0.14648
"2010-03-03",0.1465
"2010-03-04",0.14648
"2010-03-05",0.14649
"2010-03-08",0.14649
"2010-03-09",0.1465
"2010-03-10",0.1465
"2010-03-11",0.14648
"2010-03-12",0.14651
"2010-03-15",0.1465
"2010-03-16",0.1465
"2010-03-17",0.1465
"2010-03-18",0.1465
"2010-03-19",0.14649
"2010-03-22",0.14648
"2010-03-23",0.14649
"2010-03-24",0.14648
"2010-03-25",0.14647
"2010-03-26",0.14647
"2010-03-29",0.14649
"2010-03-30",0.1465
"2010-03-31",0.1465
"2010-04-01",0.14649
"2010-04-02",0.14651
"2010-04-05",0.14651
"2010-04-06",0.1465
"2010-04-07",0.1465
"2010-04-08",0.14653
"2010-04-09",0.14654
"2010-04-12",0.1465
"2010-04-13",0.1465
"2010-04-14",0.1465
"2010-04-15",0.1465
"2010-04-16",0.14651
"2010-04-19",0.14648
"2010-04-20",0.14651
"2010-04-21",0.14648
"2010-04-22",0.14648
"2010-04-23",0.14648
"2010-04-26",0.14648
"2010-04-27",0.1465
"2010-04-28",0.14651
"2010-04-29",0.1465
"2010-04-30",0.14651
"2010-05-03",0.14649
"2010-05-04",0.14649
"2010-05-05",0.14648
"2010-05-06",0.14649
"2010-05-07",0.1465
"2010-05-10",0.14649
"2010-05-11",0.14643
"2010-05-12",0.14647
"2010-05-13",0.14646
"2010-05-14",0.14648
"2010-05-17",0.14646
"2010-05-18",0.14647
"2010-05-19",0.14647
"2010-05-20",0.14646
"2010-05-21",0.14646
"2010-05-24",0.14644
"2010-05-25",0.14638
"2010-05-26",0.14645
"2010-05-27",0.14637
"2010-05-28",0.14639
"2010-05-31",0.14646
"2010-06-01",0.14641
"2010-06-02",0.1464
"2010-06-03",0.14645
"2010-06-04",0.14644
"2010-06-07",0.14637
"2010-06-08",0.14641
"2010-06-09",0.14645
"2010-06-10",0.1464
"2010-06-11",0.14635
"2010-06-14",0.14634
"2010-06-15",0.14634
"2010-06-16",0.14636
"2010-06-17",0.14643
"2010-06-18",0.14649
"2010-06-21",0.14712
"2010-06-22",0.14678
"2010-06-23",0.14679
"2010-06-24",0.14706
"2010-06-25",0.14726
"2010-06-28",0.14714
"2010-06-29",0.14711
"2010-06-30",0.14746
"2010-07-01",0.14747
"2010-07-02",0.14768
"2010-07-05",0.14758
"2010-07-06",0.14748
"2010-07-07",0.14755
"2010-07-08",0.14757
"2010-07-09",0.14763
"2010-07-12",0.14767
"2010-07-13",0.14767
"2010-07-14",0.14761
"2010-07-15",0.14753
"2010-07-16",0.1476
"2010-07-19",0.14754
"2010-07-20",0.14753
"2010-07-21",0.14756
"2010-07-22",0.14749
"2010-07-23",0.14749
"2010-07-26",0.1475
"2010-07-27",0.14753
"2010-07-28",0.14754
"2010-07-29",0.14755
"2010-07-30",0.1476
"2010-08-02",0.14764
"2010-08-03",0.14764
"2010-08-04",0.14766
"2010-08-05",0.14767
"2010-08-06",0.14775
"2010-08-09",0.14777
"2010-08-10",0.14767
"2010-08-11",0.14761
"2010-08-12",0.14738
"2010-08-13",0.14731
"2010-08-16",0.14693
"2010-08-17",0.14723
"2010-08-18",0.14724
"2010-08-19",0.14728
"2010-08-20",0.14727
"2010-08-23",0.14708
"2010-08-24",0.14712
"2010-08-25",0.14708
"2010-08-26",0.14708
"2010-08-27",0.1471
"2010-08-30",0.14702
"2010-08-31",0.1469
