Index,SPX
2010-01-05,1132.99
2010-01-06,1136.52
2010-01-07,1137.14
2010-01-08,1141.69
2010-01-11,1144.98
2010-01-12,1146.98
2010-01-13,1136.22
2010-01-14,1145.68
2010-01-15,1148.46
2010-01-19,1136.03
2010-01-20,1150.23
2010-01-21,1138.04
2010-01-22,1116.48
2010-01-25,1091.76
2010-01-26,1096.78
2010-01-27,1092.17
2010-01-28,1097.5
2010-01-29,1084.53
2010-02-01,1073.87
2010-02-02,1089.19
2010-02-03,1103.32
2010-02-04,1097.28
2010-02-05,1063.11
2010-02-08,1066.19
2010-02-09,1056.74
2010-02-10,1070.52
2010-02-11,1068.13
2010-02-12,1078.47
2010-02-16,1075.51
2010-02-17,1094.87
2010-02-18,1099.51
2010-02-19,1106.75
2010-02-22,1109.17
2010-02-23,1108.01
2010-02-24,1094.6
2010-02-25,1105.24
2010-02-26,1102.94
2010-03-01,1104.49
2010-03-02,1115.71
2010-03-03,1118.31
2010-03-04,1118.79
2010-03-05,1122.97
2010-03-08,1138.7
2010-03-09,1138.5
2010-03-10,1140.45
2010-03-11,1145.61
2010-03-12,1150.24
2010-03-15,1149.99
2010-03-16,1150.51
2010-03-17,1159.46
2010-03-18,1166.21
2010-03-19,1165.83
2010-03-22,1159.9
2010-03-23,1165.81
2010-03-24,1174.17
2010-03-25,1167.72
2010-03-26,1165.73
2010-03-29,1166.59
2010-03-30,1173.22
2010-03-31,1173.27
2010-04-01,1169.43
2010-04-05,1178.1
2010-04-06,1187.44
2010-04-07,1189.44
2010-04-08,1182.45
2010-04-09,1186.44
2010-04-12,1194.37
2010-04-13,1196.48
2010-04-14,1197.3
2010-04-15,1210.65
2010-04-16,1211.67
2010-04-19,1192.13
2010-04-20,1197.52
2010-04-21,1207.17
2010-04-22,1205.94
2010-04-23,1208.67
2010-04-26,1217.28
2010-04-27,1212.05
2010-04-28,1183.71
2010-04-29,1191.36
2010-04-30,1206.78
2010-05-03,1186.69
2010-05-04,1202.26
2010-05-05,1173.6
2010-05-06,1165.9
2010-05-07,1128.15
2010-05-10,1110.88
2010-05-11,1159.73
2010-05-12,1155.79
2010-05-13,1171.67
2010-05-14,1157.44
2010-05-17,1135.68
2010-05-18,1136.94
2010-05-19,1120.8
2010-05-20,1115.05
2010-05-21,1071.59
2010-05-24,1087.69
2010-05-25,1073.65
2010-05-26,1074.03
2010-05-27,1067.95
2010-05-28,1103.06
2010-06-01,1089.41
2010-06-02,1070.71
2010-06-03,1098.38
2010-06-04,1102.83
2010-06-07,1064.88
2010-06-08,1050.47
2010-06-09,1062.0
2010-06-10,1055.69
2010-06-11,1086.84
2010-06-14,1091.6
2010-06-15,1089.63
2010-06-16,1115.23
2010-06-17,1114.61
2010-06-18,1116.04
2010-06-21,1117.51
2010-06-22,1113.2
2010-06-23,1095.31
2010-06-24,1092.04
2010-06-25,1073.69
2010-06-28,1076.76
2010-06-29,1074.57
2010-06-30,1041.24
2010-07-01,1030.71
2010-07-02,1027.37
2010-07-06,1022.58
2010-07-07,1028.06
2010-07-08,1060.27
2010-07-09,1070.25
2010-07-12,1077.96
2010-07-13,1078.75
2010-07-14,1095.34
2010-07-15,1095.17
2010-07-16,1096.48
2010-07-19,1064.88
2010-07-20,1071.25
2010-07-21,1083.48
2010-07-22,1069.59
2010-07-23,1093.67
2010-07-26,1102.66
2010-07-27,1115.01
2010-07-28,1113.84
2010-07-29,1106.13
2010-07-30,1101.53
2010-08-02,1101.6
2010-08-03,1125.86
2010-08-04,1120.46
2010-08-05,1127.24
