Index,SX5E
2010-01-05,3017.8
2010-01-06,3012.36
2010-01-07,3009.66
2010-01-08,3007.34
2010-01-11,3017.85
2010-01-12,3010.24
2010-01-13,2976.89
2010-01-14,2978.41
2010-01-15,2989.71
2010-01-18,2940.25
2010-01-19,2957.87
2010-01-20,2984.82
2010-01-21,2914.6
2010-01-22,2863.25
2010-01-25,2836.8
2010-01-26,2807.3
2010-01-27,2827.74
2010-01-28,2787.4
2010-01-29,2737.33
2010-02-01,2776.83
2010-02-02,2793.29
2010-02-03,2830.01
2010-02-04,2804.61
2010-02-05,2707.45
2010-02-08,2631.64
2010-02-09,2664.29
2010-02-10,2668.43
2010-02-11,2700.17
2010-02-12,2680.25
2010-02-15,2674.46
2010-02-16,2683.83
2010-02-17,2720.77
2010-02-18,2762.25
2010-02-19,2778.3
2010-02-22,2793.37
2010-02-23,2778.12
2010-02-24,2730.57
2010-02-25,2734.95
2010-02-26,2684.42
2010-03-01,2728.47
2010-03-02,2772.7
2010-03-03,2796.33
2010-03-04,2822.59
2010-03-05,2816.1
2010-03-08,2877.44
2010-03-09,2879.29
2010-03-10,2880.71
2010-03-11,2909.4
2010-03-12,2895.74
2010-03-15,2898.36
2010-03-16,2870.55
2010-03-17,2905.93
2010-03-18,2931.31
2010-03-19,2913.74
2010-03-22,2897.95
2010-03-23,2890.75
2010-03-24,2910.52
2010-03-25,2903.94
2010-03-26,2948.09
2010-03-29,2940.94
2010-03-30,2947.49
2010-03-31,2939.68
2010-04-01,2931.16
2010-04-06,2978.5
2010-04-07,2989.49
2010-04-08,2974.62
2010-04-09,2942.31
2010-04-12,2993.54
2010-04-13,3002.23
2010-04-14,2988.24
2010-04-15,3008.03
2010-04-16,3012.65
2010-04-19,2949.65
2010-04-20,2940.19
2010-04-21,2983.91
2010-04-22,2947.64
2010-04-23,2897.59
2010-04-26,2918.11
2010-04-27,2947.04
2010-04-28,2838.78
2010-04-29,2788.54
2010-04-30,2828.12
2010-05-03,2816.86
2010-05-04,2816.5
2010-05-05,2708.12
2010-05-06,2679.3
2010-05-07,2611.41
2010-05-10,2500.18
2010-05-11,2758.89
2010-05-12,2730.48
2010-05-13,2764.31
2010-05-14,2764.05
2010-05-17,2633.92
2010-05-18,2635.34
2010-05-19,2698.21
2010-05-20,2619.48
2010-05-21,2569.58
2010-05-24,2574.18
2010-05-25,2558.27
2010-05-26,2488.5
2010-05-27,2530.34
2010-05-28,2619.36
2010-05-31,2614.06
2010-06-01,2610.26
2010-06-02,2606.58
2010-06-03,2601.98
2010-06-04,2634.16
2010-06-07,2553.59
2010-06-08,2529.97
2010-06-09,2510.84
2010-06-10,2556.68
2010-06-11,2608.74
2010-06-14,2638.31
2010-06-15,2683.46
2010-06-16,2716.3
2010-06-17,2718.73
2010-06-18,2728.12
2010-06-21,2737.02
2010-06-22,2768.27
2010-06-23,2745.97
2010-06-24,2704.8
2010-06-25,2645.32
2010-06-28,2629.25
2010-06-29,2668.67
2010-06-30,2556.34
2010-07-01,2573.32
2010-07-02,2518.65
2010-07-05,2522.36
2010-07-06,2507.83
2010-07-07,2578.69
2010-07-08,2634.39
2010-07-09,2666.42
2010-07-12,2681.2
2010-07-13,2686.09
2010-07-14,2737.59
2010-07-15,2738.96
2010-07-16,2702.81
2010-07-19,2645.61
2010-07-20,2634.6
2010-07-21,2627.28
2010-07-22,2639.52
