Index,UKX
2010-01-05,5500.34
2010-01-06,5522.5
2010-01-07,5530.04
2010-01-08,5526.72
2010-01-11,5534.24
2010-01-12,5538.07
2010-01-13,5498.71
2010-01-14,5473.48
2010-01-15,5498.2
2010-01-18,5455.37
2010-01-19,5494.39
2010-01-20,5513.14
2010-01-21,5420.8
2010-01-22,5335.1
2010-01-25,5302.99
2010-01-26,5260.31
2010-01-27,5276.85
2010-01-28,5217.47
2010-01-29,5145.74
2010-02-01,5188.52
2010-02-02,5247.41
2010-02-03,5283.31
2010-02-04,5253.15
2010-02-05,5139.31
2010-02-08,5060.92
2010-02-09,5092.33
2010-02-10,5111.84
2010-02-11,5131.99
2010-02-12,5161.48
2010-02-15,5142.45
2010-02-16,5167.47
2010-02-17,5244.06
2010-02-18,5276.64
2010-02-19,5325.09
2010-02-22,5358.17
2010-02-23,5352.07
2010-02-24,5315.09
2010-02-25,5342.92
2010-02-26,5278.22
2010-03-01,5354.52
2010-03-02,5405.94
2010-03-03,5484.06
2010-03-04,5533.21
2010-03-05,5527.16
2010-03-08,5599.76
2010-03-09,5606.72
2010-03-10,5602.3
2010-03-11,5640.57
2010-03-12,5617.26
2010-03-15,5625.65
2010-03-16,5593.85
2010-03-17,5620.43
2010-03-18,5644.63
2010-03-19,5642.62
2010-03-22,5650.12
2010-03-23,5644.54
2010-03-24,5673.63
2010-03-25,5677.88
2010-03-26,5727.65
2010-03-29,5703.02
2010-03-30,5710.66
2010-03-31,5672.32
2010-04-01,5679.64
2010-04-06,5744.89
2010-04-07,5780.35
2010-04-08,5762.06
2010-04-09,5712.7
2010-04-12,5770.98
2010-04-13,5777.65
2010-04-14,5761.66
2010-04-15,5796.25
2010-04-16,5825.01
2010-04-19,5743.96
2010-04-20,5727.91
2010-04-21,5783.69
2010-04-22,5723.43
2010-04-23,5665.33
2010-04-26,5723.65
2010-04-27,5753.85
2010-04-28,5603.52
2010-04-29,5586.61
2010-04-30,5617.84
2010-05-03,5553.29
2010-05-04,
2010-05-05,5411.11
2010-05-06,5341.93
2010-05-07,5260.99
2010-05-10,5123.02
2010-05-11,5387.42
2010-05-12,5334.21
2010-05-13,5383.45
2010-05-14,5433.73
2010-05-17,5262.85
2010-05-18,5262.54
2010-05-19,5307.34
2010-05-20,5158.08
2010-05-21,5073.13
2010-05-24,5062.93
2010-05-25,5069.61
2010-05-26,4940.68
2010-05-27,5038.08
2010-05-28,5195.17
2010-05-31,5188.43
2010-06-01,
2010-06-02,5163.3
2010-06-03,5151.32
2010-06-04,5211.18
2010-06-07,5126.0
2010-06-08,5069.06
2010-06-09,5028.15
2010-06-10,5085.86
2010-06-11,5132.5
2010-06-14,5163.68
2010-06-15,5202.13
2010-06-16,5217.82
2010-06-17,5237.92
2010-06-18,5253.89
2010-06-21,5250.84
2010-06-22,5299.11
2010-06-23,5246.98
2010-06-24,5178.52
2010-06-25,5100.23
2010-06-28,5046.47
2010-06-29,5071.68
2010-06-30,4914.22
2010-07-01,4916.87
2010-07-02,4805.75
2010-07-05,4838.09
2010-07-06,4823.53
2010-07-07,4965.0
2010-07-08,5014.82
2010-07-09,5105.45
2010-07-12,5132.94
2010-07-13,5167.02
2010-07-14,5271.02
2010-07-15,5253.52
2010-07-16,5211.29
2010-07-19,5158.85
2010-07-20,5148.28
2010-07-21,5139.46
2010-07-22,5214.64
2010-07-23,5313.81
2010-07-26,5312.62
2010-07-27,5351.12
2010-07-28,5365.67
2010-07-29,5319.68
2010-07-30,5313.95
2010-08-02,5258.02
2010-08-03,5397.11
2010-08-04,5396.48
2010-08-05,5386.16
2010-08-06,5365.78
2010-08-09,5332.39
2010-08-10,5410.52
2010-08-11,5376.41
2010-08-12,5245.21
2010-08-13,5266.06
2010-08-16,5275.44
2010-08-17,5276.1
2010-08-18,5350.55
2010-08-19,5302.87
2010-08-20,5211.29
2010-08-23,5195.28
2010-08-24,5234.84
2010-08-25,5155.95
2010-08-26,5109.4
2010-08-27,5155.84
2010-08-30,5201.56
2010-08-31,
2010-09-01,5225.22
2010-09-02,5366.41
2010-09-03,5371.04
2010-09-06,5428.15
2010-09-07,5439.19
2010-09-08,5407.82
2010-09-09,5429.74
2010-09-10,5494.16
2010-09-13,5501.64
2010-09-14,5565.53
2010-09-15,5567.41
2010-09-16,5555.56
2010-09-17,5540.14
2010-09-20,5508.45
2010-09-21,5602.54
2010-09-22,5576.19
2010-09-23,5551.91
2010-09-24,5547.08
2010-09-27,5598.48
2010-09-28,5573.42
2010-09-29,5578.44
2010-09-30,5569.27
2010-10-01,5548.62
2010-10-04,5592.9
2010-10-05,5555.97
2010-10-06,5635.76
2010-10-07,5681.39
2010-10-08,5662.13
2010-10-11,5657.61
2010-10-12,5672.4
2010-10-13,5661.59
2010-10-14,5747.35
2010-10-15,5727.21
2010-10-18,5703.37
2010-10-19,5742.52
2010-10-20,5703.89
2010-10-21,5728.93
2010-10-22,5757.86
2010-10-25,5741.37
