"","Open.Price","High.Price","Low.Price","Close.Price","Volume"
"1987-06-01",NA,NA,NA,1525,NA
"1987-06-02",NA,NA,NA,1531,NA
"1987-06-03",NA,NA,NA,1539,NA
"1987-06-04",NA,NA,NA,1535,NA
"1987-06-05",NA,NA,NA,1560,NA
"1987-06-08",NA,NA,NA,1593,NA
"1987-06-09",NA,NA,NA,1575,NA
"1987-06-10",NA,NA,NA,1584,NA
"1987-06-11",NA,NA,NA,1564,NA
"1987-06-12",NA,NA,NA,1589,NA
"1987-06-15",NA,NA,NA,1579,NA
"1987-06-16",NA,NA,NA,1577,NA
"1987-06-17",NA,NA,NA,1575,NA
"1987-06-18",NA,NA,NA,1578,NA
"1987-06-19",NA,NA,NA,1581,NA
"1987-06-22",NA,NA,NA,1578,NA
"1987-06-23",NA,NA,NA,1562,NA
"1987-06-24",NA,NA,NA,1569,NA
"1987-06-25",NA,NA,NA,1555,NA
"1987-06-26",NA,NA,NA,1547,NA
"1987-06-29",NA,NA,NA,1549,NA
"1987-06-30",NA,NA,NA,1565,NA
"1987-07-01",NA,NA,NA,1585,NA
"1987-07-02",NA,NA,NA,1585,NA
"1987-07-03",NA,NA,NA,1583,NA
"1987-07-06",NA,NA,NA,1597,NA
"1987-07-07",NA,NA,NA,1625,NA
"1987-07-08",NA,NA,NA,1604,NA
"1987-07-09",NA,NA,NA,1589,NA
"1987-07-10",NA,NA,NA,1620,NA
"1987-07-13",NA,NA,NA,1605,NA
"1987-07-14",NA,NA,NA,1610,NA
"1987-07-15",NA,NA,NA,1595,NA
"1987-07-16",NA,NA,NA,1625,NA
"1987-07-17",NA,NA,NA,1615,NA
"1987-07-20",NA,NA,NA,1625,NA
"1987-07-21",NA,NA,NA,1610,NA
"1987-07-22",NA,NA,NA,1645,NA
"1987-07-23",NA,NA,NA,1645,NA
"1987-07-24",NA,NA,NA,1645,NA
"1987-07-27",NA,NA,NA,1642,NA
"1987-07-28",NA,NA,NA,1647,NA
"1987-07-29",NA,NA,NA,1663,NA
