"","Open.Price","High.Price","Low.Price","Close.Price","Volume"
"1987-01-05",449.25,449.25,449.25,449.25,NA
"1987-01-06",452.07,452.07,452.07,452.07,NA
"1987-01-07",454.19,454.19,454.19,454.19,NA
"1987-01-08",449.19,449.19,449.19,449.19,NA
"1987-01-09",442.99,442.99,442.99,442.99,NA
"1987-01-12",448.35,448.35,448.35,448.35,NA
"1987-01-13",439.14,439.14,439.14,439.14,NA
"1987-01-14",442.42,442.42,442.42,442.42,NA
"1987-01-15",434.09,434.09,434.09,434.09,NA
"1987-01-16",456.79,456.79,456.79,456.79,NA
"1987-01-19",436.64,436.64,436.64,436.64,NA
"1987-01-20",442.91,442.91,442.91,442.91,NA
"1987-01-21",450.72,450.72,450.72,450.72,NA
"1987-01-22",446.64,446.64,446.64,446.64,NA
"1987-01-23",439.58,439.58,439.58,439.58,NA
"1987-01-26",441.58,441.58,441.58,441.58,NA
"1987-01-27",451.73,451.73,451.73,451.73,NA
"1987-01-28",449.14,449.14,449.14,449.14,NA
"1987-01-29",452.53,452.53,452.53,452.53,NA
"1987-01-30",437.24,437.24,437.24,437.24,NA
"1987-02-02",443.94,443.94,443.94,443.94,NA
"1987-02-03",454.68,454.68,454.68,454.68,NA
"1987-02-04",451.32,451.32,451.32,451.32,NA
"1987-02-05",459.2,459.2,459.2,459.2,NA
"1987-02-06",466.09,466.09,466.09,466.09,NA
"1987-02-09",465.44,465.44,465.44,465.44,NA
"1987-02-10",459.28,459.28,459.28,459.28,NA
"1987-02-11",446.86,446.86,446.86,446.86,NA
"1987-02-12",453.55,453.55,453.55,453.55,NA
"1987-02-13",453.63,453.63,453.63,453.63,NA
"1987-02-17",457.04,457.04,457.04,457.04,NA
"1987-02-18",460.77,460.77,460.77,460.77,NA
"1987-02-19",455.29,455.29,455.29,455.29,NA
"1987-02-20",451.01,451.01,451.01,451.01,NA
"1987-02-23",457.87,457.87,457.87,457.87,NA
"1987-02-24",452.04,452.04,452.04,452.04,NA
"1987-02-25",453.62,453.62,453.62,453.62,NA
"1987-02-26",455.95,455.95,455.95,455.95,NA
"1987-02-27",451.55,451.55,451.55,451.55,NA
"1987-03-02",454.3,454.3,454.3,454.3,NA
"1987-03-03",463.41,463.41,463.41,463.41,NA
"1987-03-04",472.28,472.28,472.28,472.28,NA
"1987-03-05",463,463,463,463,NA
"1987-03-06",468.97,468.97,468.97,468.97,NA
"1987-03-09",463.34,463.34,463.34,463.34,NA
"1987-03-10",462.63,462.63,462.63,462.63,NA
"1987-03-11",462.56,462.56,462.56,462.56,NA
"1987-03-12",464.96,464.96,464.96,464.96,NA
"1987-03-13",471.09,471.09,471.09,471.09,NA
"1987-03-16",474.89,474.89,474.89,474.89,NA
"1987-03-17",475.91,475.91,475.91,475.91,NA
"1987-03-18",477.4,477.4,477.4,477.4,NA
"1987-03-19",478.47,478.47,478.47,478.47,NA
"1987-03-20",475.65,475.65,475.65,475.65,NA
"1987-03-23",478.26,478.26,478.26,478.26,NA
"1987-03-24",475.76,475.76,475.76,475.76,NA
"1987-03-25",476.62,476.62,476.62,476.62,NA
"1987-03-26",478.96,478.96,478.96,478.96,NA
"1987-03-27",482.59,482.59,482.59,482.59,NA
"1987-03-30",479.63,479.63,479.63,479.63,NA
"1987-03-31",480.33,480.33,480.33,480.33,NA
"1987-04-01",477.86,477.86,477.86,477.86,NA
"1987-04-02",472.21,472.21,472.21,472.21,NA
