"","Open.Price","High.Price","Low.Price","Close.Price","Volume"
"1987-01-05",NA,NA,NA,2446,NA
"1987-01-06",NA,NA,NA,2436,NA
"1987-01-07",NA,NA,NA,2434,NA
"1987-01-08",NA,NA,NA,2401,NA
"1987-01-09",NA,NA,NA,2390,NA
"1987-01-12",NA,NA,NA,2380,NA
"1987-01-13",NA,NA,NA,2361,NA
"1987-01-14",NA,NA,NA,2400,NA
"1987-01-15",NA,NA,NA,2375,NA
"1987-01-16",NA,NA,NA,2395,NA
"1987-01-19",NA,NA,NA,2337,NA
"1987-01-20",NA,NA,NA,2362,NA
"1987-01-21",NA,NA,NA,2390,NA
"1987-01-22",NA,NA,NA,2370,NA
"1987-01-23",NA,NA,NA,2400,NA
"1987-01-26",NA,NA,NA,2422,NA
"1987-01-27",NA,NA,NA,2420,NA
"1987-01-28",NA,NA,NA,2380,NA
"1987-01-29",NA,NA,NA,2378,NA
"1987-01-30",NA,NA,NA,2392,NA
"1987-02-02",NA,NA,NA,2421,NA
"1987-02-03",NA,NA,NA,2402,NA
"1987-02-04",NA,NA,NA,2416,NA
"1987-02-05",NA,NA,NA,2423,NA
"1987-02-06",NA,NA,NA,2425,NA
"1987-02-09",NA,NA,NA,2438,NA
"1987-02-10",NA,NA,NA,2408,NA
"1987-02-11",NA,NA,NA,2426,NA
"1987-02-12",NA,NA,NA,2444,NA
"1987-02-13",NA,NA,NA,2440,NA
"1987-02-16",NA,NA,NA,2448,NA
"1987-02-17",NA,NA,NA,2470,NA
"1987-02-18",NA,NA,NA,2524,NA
"1987-02-19",NA,NA,NA,2530,NA
"1987-02-20",NA,NA,NA,2500,NA
"1987-02-23",NA,NA,NA,2481,NA
"1987-02-24",NA,NA,NA,2471,NA
"1987-02-25",NA,NA,NA,2490,NA
"1987-02-26",NA,NA,NA,2486,NA
"1987-02-27",NA,NA,NA,2469,NA
"1987-03-02",NA,NA,NA,2441,NA
"1987-03-03",NA,NA,NA,2413,NA
"1987-03-04",NA,NA,NA,2430,NA
"1987-03-05",NA,NA,NA,2427,NA
"1987-03-06",NA,NA,NA,2415,NA
"1987-03-09",NA,NA,NA,2390,NA
"1987-03-10",NA,NA,NA,2391,NA
"1987-03-11",NA,NA,NA,2381,NA
"1987-03-12",NA,NA,NA,2398,NA
"1987-03-13",NA,NA,NA,2420,NA
"1987-03-16",NA,NA,NA,2412,NA
"1987-03-17",NA,NA,NA,2370,NA
"1987-03-18",NA,NA,NA,2360,NA
"1987-03-19",NA,NA,NA,2369,NA
"1987-03-20",NA,NA,NA,2370,NA
"1987-03-23",NA,NA,NA,2345,NA
"1987-03-24",NA,NA,NA,2331,NA
"1987-03-25",NA,NA,NA,2334,NA
"1987-03-26",NA,NA,NA,2345,NA
"1987-03-27",NA,NA,NA,2341,NA
"1987-03-30",NA,NA,NA,2353,NA
"1987-03-31",NA,NA,NA,2356,NA
"1987-04-01",NA,NA,NA,2349,NA
"1987-04-02",NA,NA,NA,2375,NA
"1987-04-03",NA,NA,NA,2372,NA
"1987-04-06",NA,NA,NA,2356,NA
"1987-04-07",NA,NA,NA,2365,NA
"1987-04-08",NA,NA,NA,2385,NA
"1987-04-09",NA,NA,NA,2395,NA
"1987-04-10",NA,NA,NA,2400,NA
"1987-04-13",NA,NA,NA,2398,NA
"1987-04-14",NA,NA,NA,2395,NA
"1987-04-15",NA,NA,NA,2415,NA
"1987-04-16",NA,NA,NA,2434,NA
"1987-04-21",NA,NA,NA,2430,NA
"1987-04-22",NA,NA,NA,2425,NA
"1987-04-23",NA,NA,NA,2417,NA
"1987-04-24",NA,NA,NA,2391,NA
"1987-04-27",NA,NA,NA,2380,NA
"1987-04-28",NA,NA,NA,2450,NA
"1987-04-29",NA,NA,NA,2480,NA
"1987-04-30",NA,NA,NA,2463,NA
"1987-05-01",NA,NA,NA,2475,NA
"1987-05-05",NA,NA,NA,2484,NA
"1987-05-06",NA,NA,NA,2530,NA
