"","Open.Price","High.Price","Low.Price","Close.Price","Volume"
"1989-06-01",NA,NA,NA,10400,NA
"1989-06-02",NA,NA,NA,10380,NA
"1989-06-05",NA,NA,NA,10275,NA
"1989-06-06",NA,NA,NA,10270,NA
"1989-06-07",NA,NA,NA,10300,NA
"1989-06-08",NA,NA,NA,10380,NA
"1989-06-09",NA,NA,NA,10427,NA
"1989-06-12",NA,NA,NA,10270,NA
"1989-06-13",NA,NA,NA,10250,NA
"1989-06-14",NA,NA,NA,10230,NA
"1989-06-15",NA,NA,NA,9820,NA
"1989-06-16",NA,NA,NA,9850,NA
"1989-06-20",NA,NA,NA,9910,NA
"1989-06-21",NA,NA,NA,10050,NA
"1989-06-22",NA,NA,NA,10000,NA
"1989-06-23",NA,NA,NA,10125,NA
"1989-06-26",NA,NA,NA,10020,NA
"1989-06-27",NA,NA,NA,9980,NA
"1989-06-28",NA,NA,NA,10050,NA
"1989-06-29",NA,NA,NA,9990,NA
"1989-06-30",NA,NA,NA,10000,NA
"1989-07-03",NA,NA,NA,9950,NA
"1989-07-04",NA,NA,NA,9975,NA
"1989-07-06",NA,NA,NA,10050,NA
"1989-07-07",NA,NA,NA,10000,NA
"1989-07-10",NA,NA,NA,9945,NA
"1989-07-11",NA,NA,NA,9900,NA
"1989-07-12",NA,NA,NA,9825,NA
"1989-07-13",NA,NA,NA,9860,NA
"1989-07-14",NA,NA,NA,9830,NA
"1989-07-17",NA,NA,NA,9720,NA
"1989-07-18",NA,NA,NA,9480,NA
"1989-07-19",NA,NA,NA,9420,NA
"1989-07-20",NA,NA,NA,9455,NA
"1989-07-21",NA,NA,NA,9560,NA
"1989-07-24",NA,NA,NA,9555,NA
"1989-07-25",NA,NA,NA,9650,NA
"1989-07-26",NA,NA,NA,9710,NA
"1989-07-27",NA,NA,NA,9705,NA
"1989-07-28",NA,NA,NA,9625,NA
"1989-07-31",NA,NA,NA,9505,NA
"1989-08-01",NA,NA,NA,9640,NA
"1989-08-02",NA,NA,NA,9635,NA
"1989-08-03",NA,NA,NA,9560,NA
"1989-08-04",NA,NA,NA,9465,NA
