"","Open.Price","High.Price","Low.Price","Close.Price","Volume"
"1989-01-04",NA,NA,NA,1640,NA
"1989-01-05",NA,NA,NA,1650,NA
"1989-01-06",NA,NA,NA,1635,NA
"1989-01-09",NA,NA,NA,1650,NA
"1989-01-10",NA,NA,NA,1640,NA
"1989-01-11",NA,NA,NA,1655,NA
"1989-01-12",NA,NA,NA,1670,NA
"1989-01-13",NA,NA,NA,1690,NA
"1989-01-16",NA,NA,NA,1725,NA
"1989-01-17",NA,NA,NA,1730,NA
"1989-01-18",NA,NA,NA,1720,NA
"1989-01-19",NA,NA,NA,1723,NA
"1989-01-20",NA,NA,NA,1745,NA
"1989-01-23",NA,NA,NA,1772,NA
"1989-01-24",NA,NA,NA,1812,NA
"1989-01-25",NA,NA,NA,1800,NA
"1989-01-26",NA,NA,NA,1830,NA
"1989-01-27",NA,NA,NA,1885,NA
"1989-01-30",NA,NA,NA,1860,NA
"1989-01-31",NA,NA,NA,1816,NA
"1989-02-01",NA,NA,NA,1850,NA
"1989-02-02",NA,NA,NA,1880,NA
"1989-02-03",NA,NA,NA,1870,NA
"1989-02-06",NA,NA,NA,1875,NA
"1989-02-07",NA,NA,NA,1825,NA
"1989-02-08",NA,NA,NA,1845,NA
"1989-02-09",NA,NA,NA,1840,NA
"1989-02-10",NA,NA,NA,1905,NA
"1989-02-13",NA,NA,NA,1880,NA
"1989-02-14",NA,NA,NA,1960,NA
"1989-02-15",NA,NA,NA,1910,NA
"1989-02-16",NA,NA,NA,1920,NA
"1989-02-17",NA,NA,NA,1965,NA
"1989-02-20",NA,NA,NA,1952,NA
"1989-02-21",NA,NA,NA,1940,NA
"1989-02-22",NA,NA,NA,1950,NA
"1989-02-23",NA,NA,NA,1955,NA
"1989-02-24",NA,NA,NA,1930,NA
"1989-02-27",NA,NA,NA,1945,NA
"1989-02-28",NA,NA,NA,1943,NA
"1989-03-01",NA,NA,NA,1940,NA
"1989-03-02",NA,NA,NA,1985,NA
"1989-03-03",NA,NA,NA,1980,NA
"1989-03-06",NA,NA,NA,1980,NA
"1989-03-07",NA,NA,NA,1947,NA
"1989-03-08",NA,NA,NA,1982,NA
"1989-03-09",NA,NA,NA,1965,NA
"1989-03-10",NA,NA,NA,1985,NA
"1989-03-13",NA,NA,NA,1995,NA
"1989-03-14",NA,NA,NA,1945,NA
"1989-03-15",NA,NA,NA,1955,NA
"1989-03-16",NA,NA,NA,1900,NA
"1989-03-17",NA,NA,NA,1900,NA
"1989-03-20",NA,NA,NA,1820,NA
"1989-03-21",NA,NA,NA,1790,NA
"1989-03-22",NA,NA,NA,1770,NA
"1989-03-23",NA,NA,NA,1825,NA
"1989-03-28",NA,NA,NA,1835,NA
"1989-03-29",NA,NA,NA,1820,NA
"1989-03-30",NA,NA,NA,1780,NA
"1989-03-31",NA,NA,NA,1752,NA
"1989-04-03",NA,NA,NA,1700,NA
"1989-04-04",NA,NA,NA,1675,NA
"1989-04-05",NA,NA,NA,1690,NA
"1989-04-06",NA,NA,NA,1660,NA
"1989-04-07",NA,NA,NA,1678,NA
"1989-04-10",NA,NA,NA,1690,NA
"1989-04-11",NA,NA,NA,1695,NA
"1989-04-12",NA,NA,NA,1668,NA
"1989-04-13",NA,NA,NA,1630,NA
"1989-04-14",NA,NA,NA,1585,NA
"1989-04-17",NA,NA,NA,1597,NA
"1989-04-18",NA,NA,NA,1558,NA
"1989-04-19",NA,NA,NA,1590,NA
"1989-04-20",NA,NA,NA,1635,NA
"1989-04-21",NA,NA,NA,1655,NA
"1989-04-24",NA,NA,NA,1675,NA
"1989-04-25",NA,NA,NA,1625,NA
"1989-04-26",NA,NA,NA,1610,NA
"1989-04-27",NA,NA,NA,1655,NA
"1989-04-28",NA,NA,NA,1653,NA
"1989-05-02",NA,NA,NA,1598,NA
"1989-05-03",NA,NA,NA,1600,NA
"1989-05-04",NA,NA,NA,1585,NA
"1989-05-05",NA,NA,NA,1645,NA
"1989-05-08",NA,NA,NA,1633,NA
"1989-05-09",NA,NA,NA,1600,NA
"1989-05-10",NA,NA,NA,1636,NA
"1989-05-11",NA,NA,NA,1620,NA
"1989-05-12",NA,NA,NA,1655,NA
"1989-05-15",NA,NA,NA,1660,NA
"1989-05-16",NA,NA,NA,1681,NA
"1989-05-17",NA,NA,NA,1675,NA
"1989-05-18",NA,NA,NA,1690,NA
"1989-05-19",NA,NA,NA,1662,NA
"1989-05-22",NA,NA,NA,1667,NA
"1989-05-23",NA,NA,NA,1640,NA
"1989-05-24",NA,NA,NA,1655,NA
"1989-05-25",NA,NA,NA,1663,NA
"1989-05-26",NA,NA,NA,1648,NA
"1989-05-30",NA,NA,NA,1630,NA
"1989-05-31",NA,NA,NA,1580,NA
"1989-06-01",NA,NA,NA,1566,NA
"1989-06-02",NA,NA,NA,1540,NA
"1989-06-05",NA,NA,NA,1547,NA
"1989-06-06",NA,NA,NA,1530,NA
"1989-06-07",NA,NA,NA,1555,NA
"1989-06-08",NA,NA,NA,1542,NA
"1989-06-09",NA,NA,NA,1540,NA
"1989-06-12",NA,NA,NA,1535,NA
"1989-06-13",NA,NA,NA,1520,NA
"1989-06-14",NA,NA,NA,1555,NA
"1989-06-15",NA,NA,NA,1550,NA
"1989-06-16",NA,NA,NA,1560,NA
"1989-06-19",NA,NA,NA,1565,NA
"1989-06-20",NA,NA,NA,1628,NA
"1989-06-21",NA,NA,NA,1575,NA
"1989-06-22",NA,NA,NA,1565,NA
