"","LMZSDY"
"1989-01-04",1705
"1989-01-05",1695
"1989-01-06",1655
"1989-01-09",1680
"1989-01-10",1685
"1989-01-11",1680
"1989-01-12",1689
"1989-01-13",1730
"1989-01-16",1765
"1989-01-17",1770
"1989-01-18",1755
"1989-01-19",1759
"1989-01-20",1805
"1989-01-23",1833
"1989-01-24",1857
"1989-01-25",1840
"1989-01-26",1885
"1989-01-27",1965
"1989-01-30",1935
"1989-01-31",1880
"1989-02-01",1910
"1989-02-02",1945
"1989-02-03",1955
"1989-02-06",1945
"1989-02-07",1880
"1989-02-08",1910
"1989-02-09",1905
"1989-02-10",2030
"1989-02-13",2020
"1989-02-14",2075
"1989-02-15",1990
"1989-02-16",2005
"1989-02-17",2070
"1989-02-20",2090
"1989-02-21",2085
"1989-02-22",2085
"1989-02-23",2070
"1989-02-24",2050
"1989-02-27",2055
"1989-02-28",2050
"1989-03-01",2088
"1989-03-02",2130
"1989-03-03",2110
"1989-03-06",2115
"1989-03-07",2070
"1989-03-08",2080
"1989-03-09",2055
"1989-03-10",2085
"1989-03-13",2075
"1989-03-14",2025
"1989-03-15",2005
"1989-03-16",1940
"1989-03-17",1946
"1989-03-20",1843
"1989-03-21",1818
"1989-03-22",1805
"1989-03-23",1885
"1989-03-28",1886
"1989-03-29",1870
"1989-03-30",1808
"1989-03-31",1778
"1989-04-03",1740
"1989-04-04",1720
"1989-04-05",1718
"1989-04-06",1685
"1989-04-07",1707
"1989-04-10",1724
"1989-04-11",1745
"1989-04-12",1700
"1989-04-13",1657
"1989-04-14",1615
"1989-04-17",1605
"1989-04-18",1580
"1989-04-19",1609
"1989-04-20",1683
"1989-04-21",1698
"1989-04-24",1707
"1989-04-25",1665
"1989-04-26",1635
"1989-04-27",1690
"1989-04-28",1710
"1989-05-02",1617
"1989-05-03",1622
"1989-05-04",1602
"1989-05-05",1700
"1989-05-08",1718
"1989-05-09",1683
"1989-05-10",1721
"1989-05-11",1705
"1989-05-12",1750
"1989-05-15",1757
"1989-05-16",1795
"1989-05-17",1785
"1989-05-18",1785
"1989-05-19",1752
"1989-05-22",1765
"1989-05-23",1765
"1989-05-24",1785
"1989-05-25",1780
"1989-05-26",1768
"1989-05-30",1735
"1989-05-31",1670
"1989-06-01",1630
"1989-06-02",1590
"1989-06-05",1605
"1989-06-06",1595
"1989-06-07",1635
"1989-06-08",1640
"1989-06-09",1620
"1989-06-12",1627
"1989-06-13",1629
"1989-06-14",1675
"1989-06-15",1710
"1989-06-16",1740
"1989-06-19",1700
"1989-06-20",1730
"1989-06-21",1680
"1989-06-22",1633
"1989-06-23",1650
"1989-06-26",1800
"1989-06-27",1745
"1989-06-28",1675
"1989-06-29",1695
"1989-06-30",1730
"1989-07-03",1635
"1989-07-04",1622
"1989-07-05",1670
"1989-07-06",1640
"1989-07-07",1695
"1989-07-10",1675
"1989-07-11",1616
"1989-07-12",1658
"1989-07-13",1691
"1989-07-14",1745
"1989-07-17",1653
"1989-07-18",1655
"1989-07-19",1677
"1989-07-20",1692
"1989-07-21",1707
"1989-07-24",1675
"1989-07-25",1700
"1989-07-26",1671
"1989-07-27",1670
"1989-07-28",1655
"1989-07-31",1650
"1989-08-01",1677
"1989-08-02",1682
"1989-08-03",1690
"1989-08-04",1710
"1989-08-07",1683
"1989-08-08",1679
"1989-08-09",1705
"1989-08-10",1797
"1989-08-11",1800
"1989-08-14",1767
"1989-08-15",1775
"1989-08-16",1819
"1989-08-17",1885
"1989-08-18",1950
"1989-08-21",1948
"1989-08-22",1932
"1989-08-23",1950
"1989-08-24",1952
"1989-08-25",1850
"1989-08-29",1830
"1989-08-30",1861
"1989-08-31",1890
"1989-09-01",1895
"1989-09-04",1805
"1989-09-05",1675
"1989-09-06",1678
"1989-09-07",1651
"1989-09-08",1645
"1989-09-11",1580
"1989-09-12",1610
"1989-09-13",1625
"1989-09-14",1655
"1989-09-15",1680
"1989-09-18",1632
"1989-09-19",1671
"1989-09-20",1640
"1989-09-21",1637
"1989-09-22",1631
"1989-09-25",1665
"1989-09-26",1645
"1989-09-27",1648
"1989-09-28",1663
"1989-09-29",1679
"1989-10-02",1712
"1989-10-03",1672
"1989-10-04",1670
"1989-10-05",1668
"1989-10-06",1668
"1989-10-09",1663
"1989-10-10",1687
"1989-10-11",1677
"1989-10-12",1686
"1989-10-13",1680
"1989-10-16",1646
"1989-10-17",1688
"1989-10-18",1662
"1989-10-19",1660
"1989-10-20",1625
"1989-10-23",1580
"1989-10-24",1556
"1989-10-25",1524
"1989-10-26",1500
"1989-10-27",1536
"1989-10-30",1570
"1989-10-31",1544
"1989-11-01",1542
"1989-11-02",1490
"1989-11-03",1480
"1989-11-06",1471
"1989-11-07",1508
"1989-11-08",1508
"1989-11-09",1496
"1989-11-10",1484
"1989-11-13",1467
"1989-11-14",1485
"1989-11-15",1465
"1989-11-16",1475
"1989-11-17",1451
"1989-11-20",1406
"1989-11-21",1430
"1989-11-22",1380
"1989-11-23",1365
"1989-11-24",1362
"1989-11-27",1384
"1989-11-28",1390
"1989-11-29",1412
"1989-11-30",1417
"1989-12-01",1416
"1989-12-04",1427
"1989-12-05",1480
"1989-12-06",1555
"1989-12-07",1517
"1989-12-08",1498
"1989-12-11",1500
"1989-12-12",1496
"1989-12-13",1550
"1989-12-14",1616
"1989-12-15",1640
"1989-12-18",1630
"1989-12-19",1503
"1989-12-20",1520
"1989-12-21",1480
"1989-12-22",1515
"1989-12-27",1540
"1989-12-28",1420
"1989-12-29",1338
"1990-01-02",1310
"1990-01-03",1363
"1990-01-04",1322
"1990-01-05",1330
"1990-01-08",1340
"1990-01-09",1362
"1990-01-10",1344
"1990-01-11",1312
"1990-01-12",1277
"1990-01-15",1261
"1990-01-16",1261
"1990-01-17",1260
"1990-01-18",1252
"1990-01-19",1259
"1990-01-22",1273
"1990-01-23",1265
"1990-01-24",1286
"1990-01-25",1286
"1990-01-26",1261
"1990-01-29",1297
"1990-01-30",1281
"1990-01-31",1270
"1990-02-01",1297
"1990-02-02",1321
"1990-02-05",1341
"1990-02-06",1316
"1990-02-07",1329
"1990-02-08",1377
"1990-02-09",1420
"1990-02-12",1387
"1990-02-13",1364
"1990-02-14",1373
"1990-02-15",1388
"1990-02-16",1420
"1990-02-19",1428
"1990-02-20",1452
"1990-02-21",1436
"1990-02-22",1466
"1990-02-23",1449
"1990-02-26",1442
"1990-02-27",1436
"1990-02-28",1473
"1990-03-01",1513
"1990-03-02",1540
"1990-03-05",1515
"1990-03-06",1547
"1990-03-07",1592
"1990-03-08",1680
"1990-03-09",1656
"1990-03-12",1628
"1990-03-13",1687
"1990-03-14",1740
"1990-03-15",1720
"1990-03-16",1738
"1990-03-19",1780
"1990-03-20",1780
"1990-03-21",1767
"1990-03-22",1786
"1990-03-23",1738
"1990-03-26",1676
"1990-03-27",1695
"1990-03-28",1655
"1990-03-29",1641
"1990-03-30",1605
"1990-04-02",1598
"1990-04-03",1665
"1990-04-04",1720
"1990-04-05",1750
"1990-04-06",1719
"1990-04-09",1686
"1990-04-10",1693
"1990-04-11",1631
"1990-04-12",1668
"1990-04-17",1646
"1990-04-18",1642
"1990-04-19",1625
"1990-04-20",1625
"1990-04-23",1655
"1990-04-24",1700
"1990-04-25",1755
"1990-04-26",1746
"1990-04-27",1765
"1990-04-30",1760
"1990-05-01",1770
"1990-05-02",1752
"1990-05-03",1788
"1990-05-04",1773
"1990-05-08",1795
"1990-05-09",1850
"1990-05-10",1870
"1990-05-11",1837
"1990-05-14",1815
"1990-05-15",1795
"1990-05-16",1751
"1990-05-17",1777
"1990-05-18",1722
"1990-05-21",1710
"1990-05-22",1770
"1990-05-23",1736
"1990-05-24",1779
"1990-05-25",1763
"1990-05-29",1753
"1990-05-30",1749
"1990-05-31",1738
"1990-06-01",1749
"1990-06-04",1767
"1990-06-05",1755
"1990-06-06",1750
"1990-06-07",1695
"1990-06-08",1678
"1990-06-11",1685
"1990-06-12",1698
"1990-06-13",1678
"1990-06-14",1662
"1990-06-15",1679
"1990-06-18",1700
"1990-06-19",1698
"1990-06-20",1700
"1990-06-21",1678
"1990-06-22",1695
"1990-06-25",1740
"1990-06-26",1727
"1990-06-27",1770
"1990-06-28",1758
"1990-06-29",1767
"1990-07-02",1705
"1990-07-03",1705
"1990-07-04",1660
"1990-07-05",1675
"1990-07-06",1742
"1990-07-09",1796
"1990-07-10",1786
"1990-07-11",1769
"1990-07-12",1756
"1990-07-13",1732
"1990-07-16",1624
"1990-07-17",1535
"1990-07-18",1535
"1990-07-19",1560
"1990-07-20",1563
"1990-07-23",1592
"1990-07-24",1573
